date,close
2025-08-25,20.39
2025-08-26,20.59
2025-08-27,20.57
2025-08-28,20.51
2025-08-29,20.46
2025-09-01,20.53
2025-09-02,20.50
2025-09-03,20.43
2025-09-04,20.34
2025-09-05,20.45
2025-09-08,20.50
2025-09-09,20.49
2025-09-10,20.64
2025-09-11,20.58
2025-09-12,20.46
2025-09-15,20.58
2025-09-16,20.73
2025-09-17,20.55
2025-09-18,20.48
2025-09-19,20.61
2025-09-22,20.68
2025-09-23,20.69
2025-09-24,20.80
2025-09-25,20.97
2025-09-26,21.00
2025-09-29,21.14
2025-09-30,21.43
2025-10-01,21.50
2025-10-02,21.43
2025-10-03,21.43
2025-10-06,21.30
2025-10-07,21.53
2025-10-08,21.50
2025-10-09,21.63
2025-10-10,21.80
2025-10-13,21.79
2025-10-14,21.86
2025-10-15,21.95
2025-10-16,21.91
2025-10-17,21.87
2025-10-20,22.27
2025-10-21,22.52
2025-10-22,22.56
2025-10-23,22.56
2025-10-24,22.27
2025-10-27,22.33
2025-10-28,22.11
2025-10-29,21.85
2025-10-30,21.82
2025-10-31,21.77
2025-11-03,21.96
2025-11-04,21.96
2025-11-05,21.95
2025-11-06,22.03
2025-11-07,21.88
2025-11-10,21.86
2025-11-11,21.76
2025-11-12,21.86
2025-11-13,21.87
2025-11-14,21.80
2025-11-17,21.77
2025-11-18,21.76
2025-11-19,21.48
2025-11-20,21.80
2025-11-21,22.02
2025-11-24,22.13
2025-11-25,22.22
2025-11-26,22.43
2025-11-27,22.27
2025-11-28,22.35
2025-12-01,22.34
2025-12-02,22.58
2025-12-03,22.55
2025-12-04,22.58
2025-12-05,22.35
2025-12-08,21.87
2025-12-09,21.89
2025-12-10,21.70
2025-12-11,22.03
2025-12-12,22.06
2025-12-15,21.97
2025-12-16,21.74
2025-12-17,21.80
2025-12-18,21.71
2025-12-19,21.85
2025-12-22,21.59
2025-12-23,21.61
2025-12-24,21.67
2025-12-25,21.68
2025-12-26,21.49
2025-12-29,21.68
2025-12-30,21.65
2025-12-31,21.98
2026-01-01,21.89
2026-01-02,21.83
2026-01-05,21.55
2026-01-06,21.73
2026-01-07,21.82
2026-01-08,21.97
2026-01-09,21.78
2026-01-12,21.72
2026-01-13,21.53
2026-01-14,21.14
