date,close
2025-08-25,78.97
2025-08-26,75.85
2025-08-27,75.43
2025-08-28,75.14
2025-08-29,75.82
2025-09-01,75.47
2025-09-02,76.72
2025-09-03,76.84
2025-09-04,76.79
2025-09-05,77.24
2025-09-08,77.87
2025-09-09,78.28
2025-09-10,78.90
2025-09-11,78.06
2025-09-12,76.92
2025-09-15,77.01
2025-09-16,78.25
2025-09-17,77.37
2025-09-18,77.89
2025-09-19,77.54
2025-09-22,76.65
2025-09-23,77.87
2025-09-24,77.40
2025-09-25,77.10
2025-09-26,75.74
2025-09-29,74.70
2025-09-30,74.78
2025-10-01,74.85
2025-10-02,74.92
2025-10-03,74.12
2025-10-06,75.22
2025-10-07,75.83
2025-10-08,74.69
2025-10-09,74.56
2025-10-10,73.28
2025-10-13,72.85
2025-10-14,73.33
2025-10-15,72.52
2025-10-16,71.33
2025-10-17,72.10
2025-10-20,71.60
2025-10-21,71.08
2025-10-22,70.83
2025-10-23,70.48
2025-10-24,71.07
2025-10-27,70.87
2025-10-28,71.98
2025-10-29,70.92
2025-10-30,72.23
2025-10-31,71.38
2025-11-03,72.19
2025-11-04,72.02
2025-11-05,70.96
2025-11-06,70.35
2025-11-07,71.83
2025-11-10,71.25
2025-11-11,71.01
2025-11-12,70.78
2025-11-13,70.08
2025-11-14,71.63
2025-11-17,71.73
2025-11-18,70.40
2025-11-19,69.79
2025-11-20,70.50
2025-11-21,70.24
2025-11-24,70.56
2025-11-25,71.89
2025-11-26,72.80
2025-11-27,71.40
2025-11-28,70.69
2025-12-01,69.20
2025-12-02,67.39
2025-12-03,68.03
2025-12-04,68.27
2025-12-05,67.81
2025-12-08,68.28
2025-12-09,67.77
2025-12-10,68.18
2025-12-11,67.74
2025-12-12,68.86
2025-12-15,67.38
2025-12-16,68.17
2025-12-17,66.55
2025-12-18,65.90
2025-12-19,66.44
2025-12-22,66.89
2025-12-23,65.61
2025-12-24,65.65
2025-12-25,65.50
2025-12-26,66.18
2025-12-29,65.86
2025-12-30,63.54
2025-12-31,63.81
2026-01-01,63.68
2026-01-02,63.26
2026-01-05,63.06
2026-01-06,62.32
2026-01-07,62.25
2026-01-08,62.79
2026-01-09,62.27
2026-01-12,62.14
2026-01-13,62.23
2026-01-14,62.33
2026-01-15,62.64
2026-01-16,62.94
2026-01-19,63.00
2026-01-20,62.00
2026-01-21,62.66
2026-01-22,63.12
2026-01-23,63.16
2026-01-26,62.77
2026-01-27,63.63
2026-01-28,64.04
2026-01-29,62.71
2026-01-30,62.49
2026-02-02,62.74
2026-02-03,62.72
2026-02-04,62.26
2026-02-05,62.62
